,종목이름,종목코드,21_1Q_매출액,21_1Q_영업이익,21_1Q_순이익,21_2Q_매출액,21_2Q_영업이익,21_2Q_순이익,21_3Q_매출액,21_3Q_영업이익,21_3Q_순이익,21_4Q_매출액,21_4Q_영업이익,21_4Q_순이익,22_1Q_매출액,22_1Q_영업이익,22_1Q_순이익
281,모헨즈,[006920],14122797468.0,-1111384497.0,-941628352.0,20706169140.0,1141903281.0,599459397.0,18931311379.0,305157232.0,384619232.0,19053766124.0,640005030.0,49420406.0,16020281675.0,-1042085922.0,-1083494291.0
282,우성,[006980],104000000000.0,-246164604.0,-1531201369.0,116000000000.0,-37453980.0,951336337.0,129000000000.0,2772714622.0,2005804317.0,131000000000.0,-1576676317.0,-7268379106.0,131000000000.0,-965700342.0,-1626770413.0
283,GS리테일,[007070],2100000000000.0,37523939162.0,34276651814.0,2290000000000.0,42801052745.0,25381420413.0,2730000000000.0,102000000000.0,755000000000.0,2650000000000.0,25665483846.0,-13185336166.0,2600000000000.0,27328534119.0,5184576068.0
284,일신석재,[007110],18621567671.0,524718048.0,446797632.0,18583883566.0,398740884.0,134351826.0,17266119026.0,-207321722.0,-341044854.0,20271402310.0,110250100.0,-301601157.0,21678757724.0,578918490.0,452408949.0
285,미래아이앤지,[007120],1938172189.0,246608072.0,1650399246.0,2309118117.0,910087336.0,-528942664.0,1619589242.0,-275686324.0,-366956704.0,1941042038.0,18366369.0,-19879425676.0,1977395526.0,-137110916.0,-654249578.0
286,사조산업,[007160],137000000000.0,9754995156.0,12571159929.0,130000000000.0,11103765080.0,10811156799.0,143000000000.0,8923286956.0,12191948260.0,181000000000.0,19455418987.0,19750748384.0,139000000000.0,15278291131.0,13995349803.0
287,벽산,[007210],106000000000.0,3245402308.0,1917635141.0,121000000000.0,4905195724.0,2276123121.0,117000000000.0,1473440100.0,957286780.0,128000000000.0,-1079160696.0,-6646047801.0,119000000000.0,5077966388.0,2991169736.0
288,한국특강,[007280],134000000000.0,1479129162.0,-626519720.0,208000000000.0,16761520845.0,16481761368.0,188000000000.0,14224525758.0,11995943687.0,162000000000.0,7546290458.0,8932607164.0,208000000000.0,7141829509.0,4657057320.0
289,오뚜기,[007310],671000000000.0,50211697013.0,38982722041.0,669000000000.0,36174305116.0,27051842739.0,707000000000.0,53008272222.0,32400576537.0,692000000000.0,27181078368.0,31542713849.0,742000000000.0,59033178922.0,55462583211.0
290,디티알오토모티브,[007340],246000000000.0,23173737528.0,22338499389.0,229000000000.0,21581426188.0,20197086327.0,222000000000.0,14494822759.0,9462976703.0,234000000000.0,30395356935.0,33082618855.0,626000000000.0,55125581838.0,28155321518.0
291,진양제약,[007370],13260655352.0,808208700.0,757192720.0,16438984746.0,1617007468.0,3971312621.0,15662584622.0,2078237797.0,2112775024.0,17476938412.0,2460193311.0,2696380714.0,17651775981.0,2235031817.0,1716637958.0
292,네이처셀,[007390],5125203440.0,-3073938753.0,-4349121753.0,6250893805.0,-2626833515.0,-28044286595.0,4452620337.0,-3294418856.0,5130985990.0,6375293502.0,-502599371.0,-4768332593.0,5129415188.0,-3129294336.0,-3533239932.0
293,에이프로젠 MED,[007460],31949889212.0,-392819618.0,-7067763133.0,36881690027.0,-1388434821.0,-10799461723.0,34733697146.0,-985279608.0,9231433142.0,37681725227.0,94220488.0,-3864559605.0,41931747143.0,4772965.0,226216449.0
294,영신금속,[007530],30681695341.0,619547223.0,254018677.0,31086964128.0,1068716312.0,492329138.0,28658176176.0,-133273777.0,-372400680.0,32447465827.0,-10751380.0,179839129.0,34762291650.0,1420578617.0,966371369.0
295,샘표,[007540],85724240414.0,10937165838.0,10743742493.0,83924393914.0,1047087457.0,1876759777.0,89522184704.0,7753465077.0,7545468883.0,89792604633.0,2166438066.0,2806247429.0,90080485529.0,8252404476.0,7005725423.0
296,일양약품,[007570],82085839628.0,8221692877.0,3315959458.0,81560341918.0,6170228920.0,5824972686.0,101000000000.0,12495720384.0,10187896585.0,107000000000.0,14137369032.0,6626885224.0,85695368538.0,11101585716.0,9710210311.0
297,동방아그로,[007590],72799330403.0,14281198707.0,10642403680.0,34407981874.0,2549446530.0,2934932480.0,14650957641.0,-4352663263.0,-3404875467.0,12207664223.0,-4280310562.0,-3165865091.0,78662587822.0,16646033100.0,12614227187.0
298,선도전기,[007610],17391722407.0,-451372933.0,-673909945.0,26226516533.0,-2290696734.0,-1304349704.0,17739046885.0,-5277539887.0,-4360603054.0,21986345813.0,-2612142480.0,-3614050044.0,14087396519.0,-4668807327.0,-3839337090.0
300,이수페타시스,[007660],122000000000.0,-2768242579.0,-2313453817.0,94379198418.0,16117832983.0,11295987915.0,129000000000.0,17030781060.0,12544023567.0,124000000000.0,16495208735.0,10126194248.0,140000000000.0,18866104822.0,13903906504.0
301,대원,[007680],56388548235.0,1304249609.0,5682653117.0,73776404703.0,2785816460.0,8230261657.0,73028196453.0,5999762374.0,5973641835.0,92477231133.0,12983654045.0,17994682256.0,78520452780.0,9356529118.0,6693242428.0
302,국도화학,[007690],311000000000.0,26342644023.0,19765484780.0,441000000000.0,78076803193.0,61343860273.0,409000000000.0,56589724647.0,43286807816.0,416000000000.0,43697871080.0,32689884982.0,417000000000.0,35559644505.0,32714955265.0
